text,type,cx,cy,x1,y1,x2,y2,width,height
"Algorithm point			OCB008802C

Enable Transfer Slew Rate		OFF
No->Yes Track Ramp Rate (per sec)	2.5
Yes->No Track Ramp Rate (per sec)	2.5
Output Tracking Option			ON
Input YES Gain				1
Input YES Bias				0
Input NO Gain				1
Input NO Bias				0
Output Top of Scale			100
Output Bottom of Scale			0",OTHER,3345.0,855.0,3336.0,846.0,3354.0,864.0,18.0,18.0
OCB008802C,OCB_BLOCK,3427.8,918.3,3350.0,904.4,3505.6,932.3,155.6,27.9
OUT,PORT,3330.8,924.2,3322.4,908.4,3339.2,940.0,16.7,31.6
A,PORT,4259.6,945.6,4243.0,917.8,4276.3,973.5,33.3,55.8
OUT,PORT,4319.8,950.8,4304.0,942.4,4335.6,959.2,31.6,16.7
"Algorithm point			OCB0088014

Analog Value of Output			0",OTHER,4265.0,955.0,4256.0,946.0,4274.0,964.0,18.0,18.0
I,OTHER,4842.2,972.0,4837.0,951.1,4847.4,992.9,10.4,41.8
A,PORT,4919.5,972.0,4907.0,951.1,4932.0,992.9,25.0,41.8
OCB0088014,OCB_BLOCK,4385.7,990.3,4310.0,976.4,4461.4,1004.3,151.4,27.9
"Algorithm point			ALG-0113015

Narrow Band Percent Change			4
Seconds for Full Scale			25
Card Type					SOFT
PCI  Card Number				1
Card Hardware Address			0
Maximum value of the output pt		1200
Minimum value of the output pt		0",OTHER,4885.0,993.5,4876.0,984.5,4894.0,1002.5,18.0,18.0
OUT,PORT,4910.8,1044.2,4902.4,1028.4,4919.2,1060.0,16.7,31.6
DESC: No,OTHER,212.4,1063.5,149.0,1048.1,275.7,1078.8,126.7,30.7
DESC: No,OTHER,1252.4,1063.5,1189.0,1048.1,1315.7,1078.8,126.7,30.7
DESC: No,OTHER,2272.4,1063.5,2209.0,1048.1,2335.7,1078.8,126.7,30.7
DESC: No,OTHER,3632.4,1063.5,3569.0,1048.1,3695.7,1078.8,126.7,30.7
ALG-0113015,ALG_BLOCK,4831.8,1075.3,4754.0,1061.4,4909.6,1089.3,155.6,27.9
D03-062-01,REF_SIGNAL,659.0,1088.3,593.0,1074.4,725.0,1102.3,132.0,27.9
D03-062-02,REF_SIGNAL,1699.0,1088.3,1633.0,1074.4,1765.0,1102.3,132.0,27.9
D03-062-03,REF_SIGNAL,2719.0,1088.3,2653.0,1074.4,2785.0,1102.3,132.0,27.9
D03-066-01,REF_SIGNAL,4079.0,1088.3,4013.0,1074.4,4145.0,1102.3,132.0,27.9
IN1,SIGNAL,4315.7,1090.8,4304.0,1082.4,4327.3,1099.2,23.3,16.7
Description Defined,OTHER,268.9,1099.5,149.0,1084.1,388.9,1114.8,239.9,30.7
Description Defined,OTHER,1308.9,1099.5,1189.0,1084.1,1428.9,1114.8,239.9,30.7
Description Defined,OTHER,2328.9,1099.5,2209.0,1084.1,2448.9,1114.8,239.9,30.7
Description Defined,OTHER,3688.9,1099.5,3569.0,1084.1,3808.9,1114.8,239.9,30.7
IN3,SIGNAL,4313.7,1130.8,4302.0,1122.4,4325.3,1139.2,23.3,16.7
OUT,PORT,4439.8,1130.8,4424.0,1122.4,4455.6,1139.2,31.6,16.7
3/062,SHEET_REF,584.4,1132.5,550.0,1117.1,618.8,1147.8,68.8,30.7
3/062,SHEET_REF,1624.4,1132.5,1590.0,1117.1,1658.8,1147.8,68.8,30.7
3/062,SHEET_REF,2644.4,1132.5,2610.0,1117.1,2678.8,1147.8,68.8,30.7
3/066,SHEET_REF,4004.4,1132.5,3970.0,1117.1,4038.8,1147.8,68.8,30.7
OR,BLOCK_TYPE,4379.7,1134.3,4361.0,1120.4,4398.5,1148.3,37.5,27.9
OR:04F,OTHER,4384.0,1134.5,4375.0,1125.5,4393.0,1143.5,18.0,18.0
(D03-062-01),OTHER,230.8,1135.5,149.0,1120.1,312.5,1150.8,163.5,30.7
(D03-062-02),OTHER,1270.8,1135.5,1189.0,1120.1,1352.5,1150.8,163.5,30.7
(D03-062-03),OTHER,2290.8,1135.5,2209.0,1120.1,2372.5,1150.8,163.5,30.7
(D03-066-01),OTHER,3650.8,1135.5,3569.0,1120.1,3732.5,1150.8,163.5,30.7
FLAG,PORT,4621.5,1149.2,4601.8,1129.4,4641.3,1168.9,39.5,39.5
NO,PORT,4670.8,1152.8,4662.4,1141.5,4679.2,1164.0,16.7,22.5
DESC: No,OTHER,3632.4,1163.5,3569.0,1148.1,3695.7,1178.8,126.7,30.7
IN2,SIGNAL,4313.7,1170.8,4302.0,1162.4,4325.3,1179.2,23.3,16.7
D03-511-12,REF_SIGNAL,4079.0,1188.3,4013.0,1174.4,4145.0,1202.3,132.0,27.9
YES,PORT,950.8,1189.0,942.4,1174.0,959.2,1204.0,16.7,30.0
YES,PORT,1970.8,1189.0,1962.4,1174.0,1979.2,1204.0,16.7,30.0
FLAG,PORT,901.5,1189.2,881.8,1169.4,921.3,1208.9,39.5,39.5
FLAG,PORT,1921.5,1189.2,1901.8,1169.4,1941.3,1208.9,39.5,39.5
FLAG,PORT,3281.5,1189.2,3261.8,1169.4,3301.3,1208.9,39.5,39.5
NO,PORT,3330.8,1192.8,3322.4,1181.5,3339.2,1204.0,16.7,22.5
Description Defined,OTHER,3688.9,1199.5,3569.0,1184.1,3808.9,1214.8,239.9,30.7
YES,PORT,4609.0,1210.8,4594.0,1202.4,4624.0,1219.2,30.0,16.7
T,BLOCK_TYPE,4680.4,1214.0,4669.0,1193.1,4691.9,1234.9,22.9,41.8
"Algorithm point			OCB0088043

Enable Transfer Slew Rate		OFF
No->Yes Track Ramp Rate (per sec)	2.5
Yes->No Track Ramp Rate (per sec)	2.5
Output Tracking Option			ON
Input YES Gain				1
Input YES Bias				0
Input NO Gain				1
Input NO Bias				0
Output Top of Scale			1200
Output Bottom of Scale			0",OTHER,4685.0,1215.0,4676.0,1206.0,4694.0,1224.0,18.0,18.0
IN1,SIGNAL,5010.8,1232.3,5002.4,1220.7,5019.2,1244.0,16.7,23.3
3/511,SHEET_REF,4004.4,1232.5,3970.0,1217.1,4038.8,1247.8,68.8,30.7
(D03-511-12),OTHER,3650.8,1235.5,3569.0,1220.1,3732.5,1250.8,163.5,30.7
A,PORT,499.6,1245.7,483.0,1217.8,516.3,1273.6,33.3,55.8
A,PORT,1539.7,1245.7,1523.0,1217.8,1556.3,1273.6,33.3,55.8
A,PORT,2559.7,1245.7,2543.0,1217.8,2576.3,1273.6,33.3,55.8
OUT,PORT,559.8,1250.8,544.0,1242.4,575.6,1259.2,31.6,16.7
NO,PORT,893.2,1250.8,882.0,1242.4,904.5,1259.2,22.5,16.7
OUT,PORT,1599.8,1250.8,1584.0,1242.4,1615.6,1259.2,31.6,16.7
NO,PORT,1913.2,1250.8,1902.0,1242.4,1924.5,1259.2,22.5,16.7
OUT,PORT,2619.8,1250.8,2604.0,1242.4,2635.6,1259.2,31.6,16.7
YES,PORT,3269.0,1250.8,3254.0,1242.4,3284.0,1259.2,30.0,16.7
T,BLOCK_TYPE,960.4,1254.0,949.0,1233.1,971.9,1274.9,22.9,41.8
