type,x1,y1,x2,y2,color,width
line,580.0,380.0,580.0,460.0,"(0.0, 0.0, 0.0)",3.0
line,580.0,460.0,380.0,460.0,"(0.0, 0.0, 0.0)",3.0
line,380.0,460.0,380.0,500.0,"(0.0, 0.0, 0.0)",3.0
line,580.0,250.0,580.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,580.0,1760.0,580.0,1780.0,"(0.0, 0.0, 0.0)",3.0
line,580.0,1780.0,580.0,1900.0,"(0.0, 0.0, 0.0)",3.0
line,580.0,1900.0,920.0,1900.0,"(0.0, 0.0, 0.0)",3.0
line,920.0,1900.0,920.0,2000.0,"(0.0, 0.0, 0.0)",3.0
line,580.0,1650.0,580.0,1680.0,"(0.0, 0.0, 0.0)",3.0
line,540.0,1760.0,620.0,1760.0,"(0.0, 0.0, 0.0)",3.0
line,620.0,1680.0,540.0,1680.0,"(0.0, 0.0, 0.0)",3.0
line,620.0,1760.0,620.0,1680.0,"(0.0, 0.0, 0.0)",3.0
line,540.0,1680.0,540.0,1760.0,"(0.0, 0.0, 0.0)",3.0
line,380.0,2000.0,400.0,2000.0,"(0.0, 0.0, 0.0)",3.0
line,400.0,2000.0,720.0,2000.0,"(0.0, 0.0, 0.0)",3.0
line,720.0,2000.0,720.0,1800.0,"(0.0, 0.0, 0.0)",3.0
line,720.0,1800.0,920.0,1800.0,"(0.0, 0.0, 0.0)",3.0
line,720.0,2000.0,720.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,720.0,2240.0,800.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,270.0,2000.0,300.0,2000.0,"(0.0, 0.0, 0.0)",3.0
line,380.0,2320.0,400.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,400.0,2320.0,700.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,270.0,2320.0,300.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,380.0,2200.0,400.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,400.0,2200.0,640.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,640.0,2200.0,640.0,2300.0,"(0.0, 0.0, 0.0)",3.0
line,640.0,2300.0,700.0,2300.0,"(0.0, 0.0, 0.0)",3.0
line,270.0,2200.0,300.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,2980.0,1760.0,2980.0,1780.0,"(0.0, 0.0, 0.0)",3.0
line,2980.0,1780.0,2980.0,1960.0,"(0.0, 0.0, 0.0)",3.0
line,2980.0,1960.0,3300.0,1960.0,"(0.0, 0.0, 0.0)",3.0
line,3300.0,1960.0,3300.0,2000.0,"(0.0, 0.0, 0.0)",3.0
line,2980.0,1650.0,2980.0,1680.0,"(0.0, 0.0, 0.0)",3.0
line,2940.0,1760.0,3020.0,1760.0,"(0.0, 0.0, 0.0)",3.0
line,3020.0,1680.0,2940.0,1680.0,"(0.0, 0.0, 0.0)",3.0
line,3020.0,1760.0,3020.0,1680.0,"(0.0, 0.0, 0.0)",3.0
line,2940.0,1680.0,2940.0,1760.0,"(0.0, 0.0, 0.0)",3.0
line,2740.0,2000.0,2760.0,2000.0,"(0.0, 0.0, 0.0)",3.0
line,2760.0,2000.0,3080.0,2000.0,"(0.0, 0.0, 0.0)",3.0
line,3080.0,2000.0,3080.0,1800.0,"(0.0, 0.0, 0.0)",3.0
line,3080.0,1800.0,3300.0,1800.0,"(0.0, 0.0, 0.0)",3.0
line,3080.0,2000.0,3080.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,3080.0,2240.0,3180.0,2240.0,"(0.0, 0.0, 0.0)",3.0
line,2630.0,2000.0,2660.0,2000.0,"(0.0, 0.0, 0.0)",3.0
line,2740.0,2320.0,2760.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,2760.0,2320.0,3080.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,2630.0,2320.0,2660.0,2320.0,"(0.0, 0.0, 0.0)",3.0
line,2740.0,2200.0,2760.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,2760.0,2200.0,3000.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,3000.0,2200.0,3000.0,2300.0,"(0.0, 0.0, 0.0)",3.0
line,3000.0,2300.0,3080.0,2300.0,"(0.0, 0.0, 0.0)",3.0
line,2630.0,2200.0,2660.0,2200.0,"(0.0, 0.0, 0.0)",3.0
line,3960.0,1200.0,3980.0,1200.0,"(0.0, 0.0, 0.0)",3.0
line,3980.0,1200.0,4040.0,1200.0,"(0.0, 0.0, 0.0)",3.0
line,4040.0,1200.0,4260.0,1200.0,"(0.0, 0.0, 0.0)",3.0
line,4260.0,1200.0,4260.0,1180.0,"(0.0, 0.0, 0.0)",3.0
line,4260.0,1180.0,4320.0,1180.0,"(0.0, 0.0, 0.0)",3.0
line,4040.0,1200.0,4040.0,2080.0,"(0.0, 0.0, 0.0)",3.0
line,4040.0,2080.0,4500.0,2080.0,"(0.0, 0.0, 0.0)",3.0
